finding_id,severity,category,cwe,location,verified_status,plans_acceptance_milestone,plan_closes_at_milestone,task_id,evidence_artefact,closure_type,evidence_excerpt
PRIOR-R2-001,CRITICAL,row-level-security,CWE-639,packages/db/src/database.service.ts,still-open,M3 deferred,M3,M3-tbd,RLS policies + negative test suite,full,Only audit_events (and crypto_operation_records by migration) have RLS; forTenant() returns raw Prisma client. Single mi
PRIOR-R3-001,CRITICAL,tenant-isolation-bola,CWE-639,apps/control-plane/src/common/guards/tenant.guard.ts; packages/db/src/database.service.ts,still-open,M3 deferred,M3,M3-tbd,Same as R2-001 — structural tenant isolation,full,Tenant isolation relies entirely on application predicates; forTenant() does not set RLS context
PRIOR-R8-001,CRITICAL,cybersecurity-act-2024-incident-reporting,,repo-wide,still-open,M4 deferred,M4,M4-tbd,Incident reporting workflow UI (requires owner assigned),full (needs owner),No incident-reporting workflow; NCII applicability decision flow; owner; reporting deadline matrix; or statutory escalat
PRIOR-R1-001,HIGH,ci-cd-security,,.github/workflows/ci.yml,still-open,M3 deferred,M3.0,§8.1,CI SHA-pinning,full,32 uses of @v4 mutable tags; only trufflesecurity/trufflehog SHA-pinned at line 249
PRIOR-R1-002,HIGH,artifact-integrity,CWE-494,.github/workflows/ci.yml,still-open,M6 deferred,M6,M6-tbd,SHA256SUMS + cosign verify + Trivy gate,full,Artifacts uploaded/downloaded without checksum; signature; provenance; or image scan verification
PRIOR-R2-002,HIGH,audit-trail-integrity,CWE-778,apps/control-plane/src/modules/audit/audit.service.ts,still-open,M3 deferred,M3,M3-tbd,$transaction-wrapped audit+state tests,full,State change and audit write are separate await operations; no $transaction wrapping both
PRIOR-R3-002,HIGH,authentication-lifecycle,CWE-287,apps/control-plane/src/modules/auth/auth.controller.ts,still-open,M3 deferred,M3,M3-tbd,MFA (TOTP) + refresh rotation + lockout tests,full,No refresh-token rotation flow; MFA; lockout; or revocation list; JWT uses shared HS256 secret
PRIOR-R5-001,HIGH,dependency-pinning,CWE-829,apps/*/package.json; packages/*/package.json,still-open,M3 deferred,M3.0,"§5,§11",Exact-pinning + pnpm.overrides,full,Production and dev deps use caret ranges throughout; lockfile is sole tree determinism
PRIOR-R5-002,HIGH,vulnerability-scanning,,.github/workflows/ci.yml,partially-mitigated,M3 deferred,M3.0,§8.2,OSV Scanner replaces pnpm audit,full,pnpm audit now returns usable JSON (prior HTTP 410 resolved); 3 advisories present
PRIOR-R5-003,HIGH,sbom-provenance-signing,CWE-1357,.github/workflows/ci.yml; docker-compose.yml,still-open,M6 deferred,M6,M6-tbd,SBOM signing + SLSA provenance (M3.0 wires SBOM generation only),"partial at M3.0, full at M6",No SBOM; no provenance attestation; no image signing; mutable image tags (postgres:16-alpine; etc.)
PRIOR-R6-001,HIGH,key-custody,CWE-522,apps/data-plane/src/services/armored-key-provider.ts,still-open,M3 deferred,M3,M3-tbd,Vault HTTP client + AWS KMS backend; VaultKeyBackend tests,full,ArmoredKeyMaterialProvider parses armored PGP from backendRef; no Vault/HSM path; node-vault not imported in source
PRIOR-R6-002,HIGH,cryptographic-correctness,,apps/data-plane/src/processors/crypto.processor.ts,refuted,closed,—,—,Refuted by forensic audit — fixed in post-M2 remediation,refuted,CryptoProcessor reads actual bytes via objectStorage.getObject() and feeds content through CryptoService (fixed in post-
PRIOR-R7-001,HIGH,observability-metrics,,apps/control-plane/src/main.ts; apps/data-plane/src/main.ts,still-open,M4 deferred,M4,M4-tbd,Metrics HTTP endpoint on control-plane + data-plane,full,control-plane Fastify boots but no /metrics endpoint registered; data-plane uses createApplicationContext (no HTTP liste
PRIOR-R7-002,HIGH,alerting-slos,,infra/,still-open,M6 deferred,M6,M6-tbd,Alert rules + SLOs + burn-rate alerts,full,No alertmanager config; no alert rule files; no SLO definitions
PRIOR-R7-003,HIGH,runbooks-dr,,docs/,still-open,M5 deferred,M5,M5-tbd,All 9 runbooks in docs/runbooks/,full,docs/runbooks does not exist; no backup/restore drill artefacts; no DR posture document
PRIOR-R8-002,HIGH,bnm-rmit-control-mapping,,repo-wide,still-open,M5 deferred,M5,M5-tbd,BNM RMiT requirement-to-control-to-evidence matrix,full,No BNM RMiT control matrix; no evidence register; no shared-control mapping
PRIOR-R8-003,HIGH,pdpa-data-governance,,repo-wide,still-open,M5 deferred,M5,M5-tbd,PDPA data inventory + erasure workflow + cross-border controls,full,No PDPA data inventory; erasure workflow; cross-border transfer documentation
PRIOR-R8-004,HIGH,lhdn-einvoice-readiness,,repo-wide,still-open,M5 deferred,M5,M5-tbd,LHDN e-Invoice adapter OR formal scope-out document,full,No LHDN e-Invoice adapter; no regulator-specific X.509 import path
NEW-01,MEDIUM,ssrf-dns-rebinding,CWE-295,apps/data-plane/src/services/endpoint-validator.ts,new,,M3,M3-tbd,SSRF validator DNS-rebinding hardening (pin IP on socket),full,SSRF validator checks hostname once at delivery time; no second-lookup or TTL caching; attacker controlling DNS can retu
NEW-02,MEDIUM,retry-thundering-herd,CWE-407,apps/data-plane/src/processors/delivery.processor.ts,new,,M3,M3-tbd,Retry jitter test assertion,full,Backoff formula is pure exponential without jitter: defaultBackoffDelayMs * Math.pow(2; attempt-1); 100 failing jobs ret
NEW-03,MEDIUM,crypto-operation-timeout,CWE-400,apps/data-plane/src/processors/crypto.processor.ts,new,,M3,M3-tbd,Per-operation crypto timeout with Promise.race,full,No per-operation timeout on CryptoService calls; only BullMQ attempt exhaustion bounds runtime
NEW-04,MEDIUM,partner-config-validation,CWE-20,apps/data-plane/src/processors/delivery.processor.ts,new,,M3,M3-tbd,ConnectorConfigSchema Zod at partner profile load,full,Partner profile config extracted as Record<string;unknown>; String(profileConfig?.['host'] ?? 'partner.example.com') — i
NEW-05,MEDIUM,unsafe-body-cast,CWE-915,apps/control-plane/src/modules/approvals/approvals.controller.ts,new,,M3.0,§7A,Zod on approvals body via nestjs-zod,full,const { notes } = (body ?? {}) as { notes?: string } — no length/format validation; notes flows into audit event
NEW-06,MEDIUM,api-versioning,CWE-434,apps/control-plane/src/app.module.ts,new,,M3,M3-tbd,URI-based API versioning /api/v1/*,full,Routes use /api/<resource>; no /api/v1/...; no deprecation header policy
PRIOR-R1-003,MEDIUM,build-isolation,,tsconfig.base.json,still-open,M3 deferred,M3,M3-tbd,TypeScript project references,full,Path aliases point directly at sibling src/; no composite or references
PRIOR-R1-004,MEDIUM,secrets-and-dev-workflow,CWE-798,.env.example; docker-compose.yml,still-open,M3 deferred,M3.0,§10,.dockerignore + lefthook + env scrub,partial,Sample credentials in .env.example are resolvable; no .dockerignore; no Husky/lefthook hooks
PRIOR-R2-003,MEDIUM,timestamp-authority,,apps/control-plane/src/modules/audit/audit.service.ts; apps/data-plane/src/services/audit-writer.service.ts,adr-accepted,M3 review,M3,M3-tbd,ADR-accepted — review clock skew at M3; may stay app-gen,adr-accepted,eventTime is application-generated new Date(); ADR accepts trade-off for hash chain verifiability
PRIOR-R2-004,MEDIUM,retention-enforcement,CWE-311,packages/db/prisma/schema.prisma,still-open,M5 deferred,M5,M5-tbd,Retention job logs,full at M5,RetentionPolicy model exists but no DB purge/archival job; grep for retention|purge|archive returns 0 active enforcement
PRIOR-R3-003,MEDIUM,input-validation,CWE-20,apps/control-plane/src/modules/partner-profiles/partner-profiles.controller.ts,still-open,not-accepted-per-plans,M3.0,§7A,Zod at body via nestjs-zod,full,body as { targetStatus: string } — direct cast instead of Zod parse
PRIOR-R4-001,MEDIUM,error-handling,,packages/db/src/database.service.ts; packages/common/src/config/config.ts,still-open,M3 deferred,M3,M3-tbd,Replace raw Error with SepError in bootstrap paths,full,Runtime code throws plain Error in bootstrap paths
PRIOR-R4-002,MEDIUM,unsafe-type-assertions,CWE-704,apps/control-plane/src/modules/auth/auth.service.ts; apps/data-plane/src/processors/crypto.processor.ts,partially-mitigated,M3 deferred,M3,M3-tbd,Zod parse helpers at processor boundaries,"partial at M3.0, full at M3",Production as unknown as remains at auth.service.ts:99 (acceptable — NestJS JWT payload cast); crypto.processor.ts:251;2
PRIOR-R6-003,MEDIUM,key-lifecycle-monitoring,,packages/common/src/config/config.ts,still-open,M3 deferred,M3,M3-tbd,90-day key expiry tier added; daily scan job,full,Only keyExpiryAlertDays(30) + keyExpiryCriticalDays(7); no 90-day tier; no scheduled alerting job
NEW-07,LOW,webhook-dispatch-stub,CWE-1104,apps/data-plane/src/processors/inbound.processor.ts,new,,M3.5,M3.5-tbd,Real webhook dispatch via undici,full,webhookDeliveryAttempt written with success: true hardcoded; real HTTP not performed
NEW-08,LOW,otel-stub-absent,CWE-778,packages/observability/src/index.ts,new,,M3.0+M3,M3-tbd,OTEL installed in M3.0; tracer init in M3,"partial at M3.0, full at M3",OTEL SDK not initialized despite CLAUDE.md M0.7 explicitly requiring OTEL stub; only prom-client wired
PRIOR-R4-003,LOW,package-metadata,,packages/*/package.json,unverified,M3 deferred,M3.0,—,Unverified in forensic audit; confirm test-first,unverified,Export condition types comes after import/require per prior audit; not re-verified in this pass
NEW-09,INFO,dependency-drift,,packages/crypto/package.json; apps/data-plane/package.json,new,,M3.0,§11,openpgp aligned via pnpm.overrides,full,openpgp version drift: 5.11.0 (crypto) vs 5.11.3 (data-plane); two separate copies possible via lockfile hoisting
NEW-TEST-COUNT,INFO,reporting-truth,,PLANS.md,new,,M3.0,§12,PLANS.md test-count correction,full,PLANS.md claims '330 tests across 30 files' for post-M2; verified actual is 289 tests across 30 files
